,hTeam,hGoals,hPenalties,hResult,aTeam,aGoals,aPenalties,aResult,mType,mDate,comp
0,Georgia,0,4,W,Greece,0,2,L,Final,26.03.24,"Euros 2024, Qualifiers"
1,Wales,0,4,L,Poland,0,5,W,Final,26.03.24,"Euros 2024, Qualifiers"
2,Ukraine,2,,W,Iceland,1,,L,Final,26.03.24,"Euros 2024, Qualifiers"
3,Georgia,2,,W,Luxembourg,0,,L,Semi-finals,21.03.24,"Euros 2024, Qualifiers"
4,Poland,5,,W,Estonia,1,,L,Semi-finals,21.03.24,"Euros 2024, Qualifiers"
5,Wales,4,,W,Finland,1,,L,Semi-finals,21.03.24,"Euros 2024, Qualifiers"
6,Bosnia,1,,L,Ukraine,2,,W,Semi-finals,21.03.24,"Euros 2024, Qualifiers"
7,Israel,1,,L,Iceland,4,,W,Semi-finals,21.03.24,"Euros 2024, Qualifiers"
8,Greece,5,,W,Kazakhstan,0,,L,Semi-finals,21.03.24,"Euros 2024, Qualifiers"
9,Scotland,3,,W,Cyprus,0,,L,Group Stage,25.03.23,"Euros 2024, Qualifiers"
10,Spain,3,,W,Norway,0,,L,Group Stage,25.03.23,"Euros 2024, Qualifiers"
11,Georgia,1,,D,Norway,1,,D,Group Stage,28.03.23,"Euros 2024, Qualifiers"
12,Scotland,2,,W,Spain,0,,L,Group Stage,28.03.23,"Euros 2024, Qualifiers"
13,Norway,1,,L,Scotland,2,,W,Group Stage,17.06.23,"Euros 2024, Qualifiers"
14,Cyprus,1,,L,Georgia,2,,W,Group Stage,17.06.23,"Euros 2024, Qualifiers"
15,Scotland,2,,W,Georgia,0,,L,Group Stage,20.06.23,"Euros 2024, Qualifiers"
16,Norway,3,,W,Cyprus,1,,L,Group Stage,20.06.23,"Euros 2024, Qualifiers"
17,Georgia,1,,L,Spain,7,,W,Group Stage,08.09.23,"Euros 2024, Qualifiers"
18,Cyprus,0,,L,Scotland,3,,W,Group Stage,08.09.23,"Euros 2024, Qualifiers"
19,Spain,6,,W,Cyprus,0,,L,Group Stage,12.09.23,"Euros 2024, Qualifiers"
20,Norway,2,,W,Georgia,1,,L,Group Stage,12.09.23,"Euros 2024, Qualifiers"
21,Spain,2,,W,Scotland,0,,L,Group Stage,12.10.23,"Euros 2024, Qualifiers"
22,Cyprus,0,,L,Norway,4,,W,Group Stage,12.10.23,"Euros 2024, Qualifiers"
23,Georgia,4,,W,Cyprus,0,,L,Group Stage,15.10.23,"Euros 2024, Qualifiers"
24,Norway,0,,L,Spain,1,,W,Group Stage,15.10.23,"Euros 2024, Qualifiers"
25,Georgia,2,,D,Scotland,2,,D,Group Stage,16.11.23,"Euros 2024, Qualifiers"
26,Cyprus,1,,L,Spain,3,,W,Group Stage,16.11.23,"Euros 2024, Qualifiers"
27,Spain,3,,W,Georgia,1,,L,Group Stage,19.11.23,"Euros 2024, Qualifiers"
28,Scotland,3,,D,Norway,3,,D,Group Stage,19.11.23,"Euros 2024, Qualifiers"
29,France,4,,W,Netherlands,0,,L,Group Stage,24.03.23,"Euros 2024, Qualifiers"
30,Gibraltar,0,,L,Greece,3,,W,Group Stage,24.03.23,"Euros 2024, Qualifiers"
31,Netherlands,3,,W,Gibraltar,0,,L,Group Stage,27.03.23,"Euros 2024, Qualifiers"
32,Ireland,0,,L,France,1,,W,Group Stage,27.03.23,"Euros 2024, Qualifiers"
33,Greece,2,,W,Ireland,1,,L,Group Stage,16.06.23,"Euros 2024, Qualifiers"
34,Gibraltar,0,,L,France,3,,W,Group Stage,16.06.23,"Euros 2024, Qualifiers"
35,France,1,,W,Greece,0,,L,Group Stage,19.06.23,"Euros 2024, Qualifiers"
36,Ireland,3,,W,Gibraltar,0,,L,Group Stage,19.06.23,"Euros 2024, Qualifiers"
37,Netherlands,3,,W,Greece,0,,L,Group Stage,07.09.23,"Euros 2024, Qualifiers"
38,France,2,,W,Ireland,0,,L,Group Stage,07.09.23,"Euros 2024, Qualifiers"
39,Ireland,1,,L,Netherlands,2,,W,Group Stage,10.09.23,"Euros 2024, Qualifiers"
40,Greece,5,,W,Gibraltar,0,,L,Group Stage,10.09.23,"Euros 2024, Qualifiers"
41,Netherlands,1,,L,France,2,,W,Group Stage,13.10.23,"Euros 2024, Qualifiers"
42,Ireland,0,,L,Greece,2,,W,Group Stage,13.10.23,"Euros 2024, Qualifiers"
43,Greece,0,,L,Netherlands,1,,W,Group Stage,16.10.23,"Euros 2024, Qualifiers"
44,Gibraltar,0,,L,Ireland,4,,W,Group Stage,16.10.23,"Euros 2024, Qualifiers"
45,Netherlands,1,,W,Ireland,0,,L,Group Stage,18.11.23,"Euros 2024, Qualifiers"
46,France,14,,W,Gibraltar,0,,L,Group Stage,18.11.23,"Euros 2024, Qualifiers"
47,Greece,2,,D,France,2,,D,Group Stage,21.11.23,"Euros 2024, Qualifiers"
48,Gibraltar,0,,L,Netherlands,6,,W,Group Stage,21.11.23,"Euros 2024, Qualifiers"
49,Italy,1,,L,England,2,,W,Group Stage,23.03.23,"Euros 2024, Qualifiers"
50,N.Macedonia,2,,W,Malta,1,,L,Group Stage,23.03.23,"Euros 2024, Qualifiers"
51,England,2,,W,Ukraine,0,,L,Group Stage,26.03.23,"Euros 2024, Qualifiers"
52,Malta,0,,L,Italy,2,,W,Group Stage,26.03.23,"Euros 2024, Qualifiers"
53,N.Macedonia,2,,L,Ukraine,3,,W,Group Stage,16.06.23,"Euros 2024, Qualifiers"
54,Malta,0,,L,England,4,,W,Group Stage,16.06.23,"Euros 2024, Qualifiers"
55,Ukraine,1,,W,Malta,0,,L,Group Stage,19.06.23,"Euros 2024, Qualifiers"
56,England,7,,W,N.Macedonia,0,,L,Group Stage,19.06.23,"Euros 2024, Qualifiers"
57,Ukraine,1,,D,England,1,,D,Group Stage,09.09.23,"Euros 2024, Qualifiers"
58,N.Macedonia,1,,D,Italy,1,,D,Group Stage,09.09.23,"Euros 2024, Qualifiers"
59,Italy,2,,W,Ukraine,1,,L,Group Stage,12.09.23,"Euros 2024, Qualifiers"
60,Malta,0,,L,N.Macedonia,2,,W,Group Stage,12.09.23,"Euros 2024, Qualifiers"
61,Ukraine,2,,W,N.Macedonia,0,,L,Group Stage,14.10.23,"Euros 2024, Qualifiers"
62,Italy,4,,W,Malta,0,,L,Group Stage,14.10.23,"Euros 2024, Qualifiers"
63,England,3,,W,Italy,1,,L,Group Stage,17.10.23,"Euros 2024, Qualifiers"
64,Malta,1,,L,Ukraine,3,,W,Group Stage,17.10.23,"Euros 2024, Qualifiers"
65,Italy,5,,W,N.Macedonia,2,,L,Group Stage,17.11.23,"Euros 2024, Qualifiers"
66,England,2,,W,Malta,0,,L,Group Stage,17.11.23,"Euros 2024, Qualifiers"
67,Ukraine,0,,D,Italy,0,,D,Group Stage,20.11.23,"Euros 2024, Qualifiers"
68,N.Macedonia,1,,D,England,1,,D,Group Stage,20.11.23,"Euros 2024, Qualifiers"
69,Armenia,1,,L,Türkiye,2,,W,Group Stage,25.03.23,"Euros 2024, Qualifiers"
70,Croatia,1,,D,Wales,1,,D,Group Stage,25.03.23,"Euros 2024, Qualifiers"
71,Wales,1,,W,Latvia,0,,L,Group Stage,28.03.23,"Euros 2024, Qualifiers"
72,Türkiye,0,,L,Croatia,2,,W,Group Stage,28.03.23,"Euros 2024, Qualifiers"
73,Wales,2,,L,Armenia,4,,W,Group Stage,16.06.23,"Euros 2024, Qualifiers"
74,Latvia,2,,L,Türkiye,3,,W,Group Stage,16.06.23,"Euros 2024, Qualifiers"
75,Armenia,2,,W,Latvia,1,,L,Group Stage,19.06.23,"Euros 2024, Qualifiers"
76,Türkiye,2,,W,Wales,0,,L,Group Stage,19.06.23,"Euros 2024, Qualifiers"
77,Croatia,5,,W,Latvia,0,,L,Group Stage,08.09.23,"Euros 2024, Qualifiers"
78,Türkiye,1,,D,Armenia,1,,D,Group Stage,08.09.23,"Euros 2024, Qualifiers"
79,Armenia,0,,L,Croatia,1,,W,Group Stage,11.09.23,"Euros 2024, Qualifiers"
80,Latvia,0,,L,Wales,2,,W,Group Stage,11.09.23,"Euros 2024, Qualifiers"
81,Latvia,2,,W,Armenia,0,,L,Group Stage,12.10.23,"Euros 2024, Qualifiers"
82,Croatia,0,,L,Türkiye,1,,W,Group Stage,12.10.23,"Euros 2024, Qualifiers"
83,Wales,2,,W,Croatia,1,,L,Group Stage,15.10.23,"Euros 2024, Qualifiers"
84,Türkiye,4,,W,Latvia,0,,L,Group Stage,15.10.23,"Euros 2024, Qualifiers"
85,Armenia,1,,D,Wales,1,,D,Group Stage,18.11.23,"Euros 2024, Qualifiers"
86,Latvia,0,,L,Croatia,2,,W,Group Stage,18.11.23,"Euros 2024, Qualifiers"
87,Croatia,1,,W,Armenia,0,,L,Group Stage,21.11.23,"Euros 2024, Qualifiers"
88,Wales,1,,D,Türkiye,1,,D,Group Stage,21.11.23,"Euros 2024, Qualifiers"
89,Czech,3,,W,Poland,1,,L,Group Stage,24.03.23,"Euros 2024, Qualifiers"
90,Moldova,1,,D,Faroe Islands,1,,D,Group Stage,24.03.23,"Euros 2024, Qualifiers"
91,Poland,1,,W,Albania,0,,L,Group Stage,27.03.23,"Euros 2024, Qualifiers"
92,Moldova,0,,D,Czech,0,,D,Group Stage,27.03.23,"Euros 2024, Qualifiers"
93,Albania,2,,W,Moldova,0,,L,Group Stage,17.06.23,"Euros 2024, Qualifiers"
94,Faroe Islands,0,,L,Czech,3,,W,Group Stage,17.06.23,"Euros 2024, Qualifiers"
95,Faroe Islands,1,,L,Albania,3,,W,Group Stage,20.06.23,"Euros 2024, Qualifiers"
96,Moldova,3,,W,Poland,2,,L,Group Stage,20.06.23,"Euros 2024, Qualifiers"
97,Poland,2,,W,Faroe Islands,0,,L,Group Stage,07.09.23,"Euros 2024, Qualifiers"
98,Czech,1,,D,Albania,1,,D,Group Stage,07.09.23,"Euros 2024, Qualifiers"
99,Faroe Islands,0,,L,Moldova,1,,W,Group Stage,10.09.23,"Euros 2024, Qualifiers"
100,Albania,2,,W,Poland,0,,L,Group Stage,10.09.23,"Euros 2024, Qualifiers"
101,Albania,3,,W,Czech,0,,L,Group Stage,12.10.23,"Euros 2024, Qualifiers"
102,Faroe Islands,0,,L,Poland,2,,W,Group Stage,12.10.23,"Euros 2024, Qualifiers"
103,Czech,1,,W,Faroe Islands,0,,L,Group Stage,15.10.23,"Euros 2024, Qualifiers"
104,Poland,1,,D,Moldova,1,,D,Group Stage,15.10.23,"Euros 2024, Qualifiers"
105,Moldova,1,,D,Albania,1,,D,Group Stage,17.11.23,"Euros 2024, Qualifiers"
106,Poland,1,,D,Czech,1,,D,Group Stage,17.11.23,"Euros 2024, Qualifiers"
107,Czech,3,,W,Moldova,0,,L,Group Stage,20.11.23,"Euros 2024, Qualifiers"
108,Albania,0,,D,Faroe Islands,0,,D,Group Stage,20.11.23,"Euros 2024, Qualifiers"
109,Austria,4,,W,Azerbaijan,1,,L,Group Stage,24.03.23,"Euros 2024, Qualifiers"
110,Sweden,0,,L,Belgium,3,,W,Group Stage,24.03.23,"Euros 2024, Qualifiers"
111,Austria,2,,W,Estonia,1,,L,Group Stage,27.03.23,"Euros 2024, Qualifiers"
112,Sweden,5,,W,Azerbaijan,0,,L,Group Stage,27.03.23,"Euros 2024, Qualifiers"
113,Azerbaijan,1,,D,Estonia,1,,D,Group Stage,17.06.23,"Euros 2024, Qualifiers"
114,Belgium,1,,D,Austria,1,,D,Group Stage,17.06.23,"Euros 2024, Qualifiers"
115,Austria,2,,W,Sweden,0,,L,Group Stage,20.06.23,"Euros 2024, Qualifiers"
116,Estonia,0,,L,Belgium,3,,W,Group Stage,20.06.23,"Euros 2024, Qualifiers"
117,Azerbaijan,0,,L,Belgium,1,,W,Group Stage,09.09.23,"Euros 2024, Qualifiers"
118,Estonia,0,,L,Sweden,5,,W,Group Stage,09.09.23,"Euros 2024, Qualifiers"
119,Belgium,5,,W,Estonia,0,,L,Group Stage,12.09.23,"Euros 2024, Qualifiers"
120,Sweden,1,,L,Austria,3,,W,Group Stage,12.09.23,"Euros 2024, Qualifiers"
121,Estonia,0,,L,Azerbaijan,2,,W,Group Stage,13.10.23,"Euros 2024, Qualifiers"
122,Austria,2,,L,Belgium,3,,W,Group Stage,13.10.23,"Euros 2024, Qualifiers"
123,Azerbaijan,0,,L,Austria,1,,W,Group Stage,16.10.23,"Euros 2024, Qualifiers"
124,Belgium,1,,D,Sweden,1,,D,Group Stage,16.10.23,"Euros 2024, Qualifiers"
125,Azerbaijan,3,,W,Sweden,0,,L,Group Stage,16.11.23,"Euros 2024, Qualifiers"
126,Estonia,0,,L,Austria,2,,W,Group Stage,16.11.23,"Euros 2024, Qualifiers"
127,Belgium,5,,W,Azerbaijan,0,,L,Group Stage,19.11.23,"Euros 2024, Qualifiers"
128,Sweden,2,,W,Estonia,0,,L,Group Stage,19.11.23,"Euros 2024, Qualifiers"
129,Bulgaria,0,,L,Montenegro,1,,W,Group Stage,24.03.23,"Euros 2024, Qualifiers"
130,Serbia,2,,W,Lithuania,0,,L,Group Stage,24.03.23,"Euros 2024, Qualifiers"
131,Hungary,3,,W,Bulgaria,0,,L,Group Stage,27.03.23,"Euros 2024, Qualifiers"
132,Montenegro,0,,L,Serbia,2,,W,Group Stage,27.03.23,"Euros 2024, Qualifiers"
133,Lithuania,1,,D,Bulgaria,1,,D,Group Stage,17.06.23,"Euros 2024, Qualifiers"
134,Montenegro,0,,D,Hungary,0,,D,Group Stage,17.06.23,"Euros 2024, Qualifiers"
135,Hungary,2,,W,Lithuania,0,,L,Group Stage,20.06.23,"Euros 2024, Qualifiers"
136,Bulgaria,1,,D,Serbia,1,,D,Group Stage,20.06.23,"Euros 2024, Qualifiers"
137,Lithuania,2,,D,Montenegro,2,,D,Group Stage,07.09.23,"Euros 2024, Qualifiers"
138,Serbia,1,,L,Hungary,2,,W,Group Stage,07.09.23,"Euros 2024, Qualifiers"
139,Montenegro,2,,W,Bulgaria,1,,L,Group Stage,10.09.23,"Euros 2024, Qualifiers"
140,Lithuania,1,,L,Serbia,3,,W,Group Stage,10.09.23,"Euros 2024, Qualifiers"
141,Bulgaria,0,,L,Lithuania,2,,W,Group Stage,14.10.23,"Euros 2024, Qualifiers"
142,Hungary,2,,W,Serbia,1,,L,Group Stage,14.10.23,"Euros 2024, Qualifiers"
143,Serbia,3,,W,Montenegro,1,,L,Group Stage,17.10.23,"Euros 2024, Qualifiers"
144,Lithuania,2,,D,Hungary,2,,D,Group Stage,17.10.23,"Euros 2024, Qualifiers"
145,Bulgaria,2,,D,Hungary,2,,D,Group Stage,16.11.23,"Euros 2024, Qualifiers"
146,Montenegro,2,,W,Lithuania,0,,L,Group Stage,16.11.23,"Euros 2024, Qualifiers"
147,Hungary,3,,W,Montenegro,1,,L,Group Stage,19.11.23,"Euros 2024, Qualifiers"
148,Serbia,2,,D,Bulgaria,2,,D,Group Stage,19.11.23,"Euros 2024, Qualifiers"
149,Kazakhstan,1,,L,Slovenia,2,,W,Group Stage,23.03.23,"Euros 2024, Qualifiers"
150,Denmark,3,,W,Finland,1,,L,Group Stage,23.03.23,"Euros 2024, Qualifiers"
151,San Marino,0,,L,North. Ireland,2,,W,Group Stage,23.03.23,"Euros 2024, Qualifiers"
152,Kazakhstan,3,,W,Denmark,2,,L,Group Stage,26.03.23,"Euros 2024, Qualifiers"
153,Slovenia,2,,W,San Marino,0,,L,Group Stage,26.03.23,"Euros 2024, Qualifiers"
154,North. Ireland,0,,L,Finland,1,,W,Group Stage,26.03.23,"Euros 2024, Qualifiers"
155,Finland,2,,W,Slovenia,0,,L,Group Stage,16.06.23,"Euros 2024, Qualifiers"
156,Denmark,1,,W,North. Ireland,0,,L,Group Stage,16.06.23,"Euros 2024, Qualifiers"
157,San Marino,0,,L,Kazakhstan,3,,W,Group Stage,16.06.23,"Euros 2024, Qualifiers"
158,Finland,6,,W,San Marino,0,,L,Group Stage,19.06.23,"Euros 2024, Qualifiers"
159,Slovenia,1,,D,Denmark,1,,D,Group Stage,19.06.23,"Euros 2024, Qualifiers"
160,North. Ireland,0,,L,Kazakhstan,1,,W,Group Stage,19.06.23,"Euros 2024, Qualifiers"
161,Kazakhstan,0,,L,Finland,1,,W,Group Stage,07.09.23,"Euros 2024, Qualifiers"
162,Denmark,4,,W,San Marino,0,,L,Group Stage,07.09.23,"Euros 2024, Qualifiers"
163,Slovenia,4,,W,North. Ireland,2,,L,Group Stage,07.09.23,"Euros 2024, Qualifiers"
164,Kazakhstan,1,,W,North. Ireland,0,,L,Group Stage,10.09.23,"Euros 2024, Qualifiers"
165,Finland,0,,L,Denmark,1,,W,Group Stage,10.09.23,"Euros 2024, Qualifiers"
166,San Marino,0,,L,Slovenia,4,,W,Group Stage,10.09.23,"Euros 2024, Qualifiers"
167,North. Ireland,3,,W,San Marino,0,,L,Group Stage,14.10.23,"Euros 2024, Qualifiers"
168,Slovenia,3,,W,Finland,0,,L,Group Stage,14.10.23,"Euros 2024, Qualifiers"
169,Denmark,3,,W,Kazakhstan,1,,L,Group Stage,14.10.23,"Euros 2024, Qualifiers"
170,Finland,1,,L,Kazakhstan,2,,W,Group Stage,17.10.23,"Euros 2024, Qualifiers"
171,North. Ireland,0,,L,Slovenia,1,,W,Group Stage,17.10.23,"Euros 2024, Qualifiers"
172,San Marino,1,,L,Denmark,2,,W,Group Stage,17.10.23,"Euros 2024, Qualifiers"
173,Kazakhstan,3,,W,San Marino,1,,L,Group Stage,17.11.23,"Euros 2024, Qualifiers"
174,Finland,4,,W,North. Ireland,0,,L,Group Stage,17.11.23,"Euros 2024, Qualifiers"
175,Denmark,2,,W,Slovenia,1,,L,Group Stage,17.11.23,"Euros 2024, Qualifiers"
176,Slovenia,2,,W,Kazakhstan,1,,L,Group Stage,20.11.23,"Euros 2024, Qualifiers"
177,North. Ireland,2,,W,Denmark,0,,L,Group Stage,20.11.23,"Euros 2024, Qualifiers"
178,San Marino,1,,L,Finland,2,,W,Group Stage,20.11.23,"Euros 2024, Qualifiers"
179,Israel,1,,D,Kosovo,1,,D,Group Stage,25.03.23,"Euros 2024, Qualifiers"
180,Belarus,0,,L,Switzerland,5,,W,Group Stage,25.03.23,"Euros 2024, Qualifiers"
181,Andorra,0,,L,Romania,2,,W,Group Stage,25.03.23,"Euros 2024, Qualifiers"
182,Switzerland,3,,W,Israel,0,,L,Group Stage,28.03.23,"Euros 2024, Qualifiers"
183,Romania,2,,W,Belarus,1,,L,Group Stage,28.03.23,"Euros 2024, Qualifiers"
184,Kosovo,1,,D,Andorra,1,,D,Group Stage,28.03.23,"Euros 2024, Qualifiers"
185,Kosovo,0,,D,Romania,0,,D,Group Stage,16.06.23,"Euros 2024, Qualifiers"
186,Belarus,1,,L,Israel,2,,W,Group Stage,16.06.23,"Euros 2024, Qualifiers"
187,Andorra,1,,L,Switzerland,2,,W,Group Stage,16.06.23,"Euros 2024, Qualifiers"
188,Switzerland,2,,D,Romania,2,,D,Group Stage,19.06.23,"Euros 2024, Qualifiers"
189,Israel,2,,W,Andorra,1,,L,Group Stage,19.06.23,"Euros 2024, Qualifiers"
190,Belarus,2,,W,Kosovo,1,,L,Group Stage,19.06.23,"Euros 2024, Qualifiers"
191,Andorra,0,,D,Belarus,0,,D,Group Stage,09.09.23,"Euros 2024, Qualifiers"
192,Romania,1,,D,Israel,1,,D,Group Stage,09.09.23,"Euros 2024, Qualifiers"
193,Kosovo,2,,D,Switzerland,2,,D,Group Stage,09.09.23,"Euros 2024, Qualifiers"
194,Switzerland,3,,W,Andorra,0,,L,Group Stage,12.09.23,"Euros 2024, Qualifiers"
195,Israel,1,,W,Belarus,0,,L,Group Stage,12.09.23,"Euros 2024, Qualifiers"
196,Romania,2,,W,Kosovo,0,,L,Group Stage,12.09.23,"Euros 2024, Qualifiers"
197,Belarus,0,,D,Romania,0,,D,Group Stage,12.10.23,"Euros 2024, Qualifiers"
198,Andorra,0,,L,Kosovo,3,,W,Group Stage,12.10.23,"Euros 2024, Qualifiers"
199,Switzerland,3,,D,Belarus,3,,D,Group Stage,15.10.23,"Euros 2024, Qualifiers"
200,Romania,4,,W,Andorra,0,,L,Group Stage,15.10.23,"Euros 2024, Qualifiers"
201,Kosovo,1,,W,Israel,0,,L,Group Stage,12.11.23,"Euros 2024, Qualifiers"
202,Israel,1,,D,Switzerland,1,,D,Group Stage,15.11.23,"Euros 2024, Qualifiers"
203,Belarus,1,,W,Andorra,0,,L,Group Stage,18.11.23,"Euros 2024, Qualifiers"
204,Switzerland,1,,D,Kosovo,1,,D,Group Stage,18.11.23,"Euros 2024, Qualifiers"
205,Israel,1,,L,Romania,2,,W,Group Stage,18.11.23,"Euros 2024, Qualifiers"
206,Romania,1,,W,Switzerland,0,,L,Group Stage,21.11.23,"Euros 2024, Qualifiers"
207,Kosovo,0,,L,Belarus,1,,W,Group Stage,21.11.23,"Euros 2024, Qualifiers"
208,Andorra,0,,L,Israel,2,,W,Group Stage,21.11.23,"Euros 2024, Qualifiers"
209,Portugal,4,,W,Liechtenstein,0,,L,Group Stage,23.03.23,"Euros 2024, Qualifiers"
210,Bosnia,3,,W,Iceland,0,,L,Group Stage,23.03.23,"Euros 2024, Qualifiers"
211,Slovakia,0,,D,Luxembourg,0,,D,Group Stage,23.03.23,"Euros 2024, Qualifiers"
212,Liechtenstein,0,,L,Iceland,7,,W,Group Stage,26.03.23,"Euros 2024, Qualifiers"
213,Luxembourg,0,,L,Portugal,6,,W,Group Stage,26.03.23,"Euros 2024, Qualifiers"
214,Slovakia,2,,W,Bosnia,0,,L,Group Stage,26.03.23,"Euros 2024, Qualifiers"
215,Luxembourg,2,,W,Liechtenstein,0,,L,Group Stage,17.06.23,"Euros 2024, Qualifiers"
216,Portugal,3,,W,Bosnia,0,,L,Group Stage,17.06.23,"Euros 2024, Qualifiers"
217,Iceland,1,,L,Slovakia,2,,W,Group Stage,17.06.23,"Euros 2024, Qualifiers"
218,Bosnia,0,,L,Luxembourg,2,,W,Group Stage,20.06.23,"Euros 2024, Qualifiers"
219,Iceland,0,,L,Portugal,1,,W,Group Stage,20.06.23,"Euros 2024, Qualifiers"
220,Liechtenstein,0,,L,Slovakia,1,,W,Group Stage,20.06.23,"Euros 2024, Qualifiers"
221,Bosnia,2,,W,Liechtenstein,1,,L,Group Stage,08.09.23,"Euros 2024, Qualifiers"
222,Luxembourg,3,,W,Iceland,1,,L,Group Stage,08.09.23,"Euros 2024, Qualifiers"
223,Slovakia,0,,L,Portugal,1,,W,Group Stage,08.09.23,"Euros 2024, Qualifiers"
224,Portugal,9,,W,Luxembourg,0,,L,Group Stage,11.09.23,"Euros 2024, Qualifiers"
225,Iceland,1,,W,Bosnia,0,,L,Group Stage,11.09.23,"Euros 2024, Qualifiers"
226,Slovakia,3,,W,Liechtenstein,0,,L,Group Stage,11.09.23,"Euros 2024, Qualifiers"
227,Portugal,3,,W,Slovakia,2,,L,Group Stage,13.10.23,"Euros 2024, Qualifiers"
228,Iceland,1,,D,Luxembourg,1,,D,Group Stage,13.10.23,"Euros 2024, Qualifiers"
229,Liechtenstein,0,,L,Bosnia,2,,W,Group Stage,13.10.23,"Euros 2024, Qualifiers"
230,Bosnia,0,,L,Portugal,5,,W,Group Stage,16.10.23,"Euros 2024, Qualifiers"
231,Iceland,4,,W,Liechtenstein,0,,L,Group Stage,16.10.23,"Euros 2024, Qualifiers"
232,Luxembourg,0,,L,Slovakia,1,,W,Group Stage,16.10.23,"Euros 2024, Qualifiers"
233,Luxembourg,4,,W,Bosnia,1,,L,Group Stage,16.11.23,"Euros 2024, Qualifiers"
234,Slovakia,4,,W,Iceland,2,,L,Group Stage,16.11.23,"Euros 2024, Qualifiers"
235,Liechtenstein,0,,L,Portugal,2,,W,Group Stage,16.11.23,"Euros 2024, Qualifiers"
236,Portugal,2,,W,Iceland,0,,L,Group Stage,19.11.23,"Euros 2024, Qualifiers"
237,Bosnia,1,,L,Slovakia,2,,W,Group Stage,19.11.23,"Euros 2024, Qualifiers"
238,Liechtenstein,0,,L,Luxembourg,1,,W,Group Stage,19.11.23,"Euros 2024, Qualifiers"
239,Italy,1,3,W,England,1,2,L,Final,11.07.21,Euros 2020
240,Spain,1,2,L,Italy,1,4,W,Semi-finals,06.07.21,Euros 2020
241,England,2,,W,Denmark,1,,L,Semi-finals,07.07.21,Euros 2020
242,Switzerland,1,1,L,Spain,1,3,W,Quarter-finals,02.07.21,Euros 2020
243,Belgium,1,,L,Italy,2,,W,Quarter-finals,02.07.21,Euros 2020
244,Czech,1,,L,Denmark,2,,W,Quarter-finals,03.07.21,Euros 2020
245,Ukraine,0,,L,England,4,,W,Quarter-finals,03.07.21,Euros 2020
246,Wales,0,,L,Denmark,4,,W,Round of 16,26.06.21,Euros 2020
247,Italy,2,,W,Austria,1,,L,Round of 16,26.06.21,Euros 2020
248,Netherlands,0,,L,Czech,2,,W,Round of 16,27.06.21,Euros 2020
249,Belgium,1,,W,Portugal,0,,L,Round of 16,27.06.21,Euros 2020
250,Croatia,3,,L,Spain,5,,W,Round of 16,28.06.21,Euros 2020
251,France,3,4,L,Switzerland,3,5,W,Round of 16,28.06.21,Euros 2020
252,England,2,,W,Germany,0,,L,Round of 16,29.06.21,Euros 2020
253,Sweden,1,,L,Ukraine,2,,W,Round of 16,29.06.21,Euros 2020
254,Türkiye,0,,L,Italy,3,,W,Group Stage,11.06.21,Euros 2020
255,Wales,1,,D,Switzerland,1,,D,Group Stage,12.06.21,Euros 2020
256,Türkiye,0,,L,Wales,2,,W,Group Stage,16.06.21,Euros 2020
257,Italy,3,,W,Switzerland,0,,L,Group Stage,16.06.21,Euros 2020
258,Switzerland,3,,W,Türkiye,1,,L,Group Stage,20.06.21,Euros 2020
259,Italy,1,,W,Wales,0,,L,Group Stage,20.06.21,Euros 2020
260,Denmark,0,,L,Finland,1,,W,Group Stage,12.06.21,Euros 2020
261,Belgium,3,,W,Russia,0,,L,Group Stage,12.06.21,Euros 2020
262,Finland,0,,L,Russia,1,,W,Group Stage,16.06.21,Euros 2020
263,Denmark,1,,L,Belgium,2,,W,Group Stage,17.06.21,Euros 2020
264,Russia,1,,L,Denmark,4,,W,Group Stage,21.06.21,Euros 2020
265,Finland,0,,L,Belgium,2,,W,Group Stage,21.06.21,Euros 2020
266,Austria,3,,W,N.Macedonia,1,,L,Group Stage,13.06.21,Euros 2020
267,Netherlands,3,,W,Ukraine,2,,L,Group Stage,13.06.21,Euros 2020
268,Ukraine,2,,W,N.Macedonia,1,,L,Group Stage,17.06.21,Euros 2020
269,Netherlands,2,,W,Austria,0,,L,Group Stage,17.06.21,Euros 2020
270,N.Macedonia,0,,L,Netherlands,3,,W,Group Stage,21.06.21,Euros 2020
271,Ukraine,0,,L,Austria,1,,W,Group Stage,21.06.21,Euros 2020
272,England,1,,W,Croatia,0,,L,Group Stage,13.06.21,Euros 2020
273,Scotland,0,,L,Czech,2,,W,Group Stage,14.06.21,Euros 2020
274,Croatia,1,,D,Czech,1,,D,Group Stage,18.06.21,Euros 2020
275,England,0,,D,Scotland,0,,D,Group Stage,18.06.21,Euros 2020
276,Croatia,3,,W,Scotland,1,,L,Group Stage,22.06.21,Euros 2020
277,Czech,0,,L,England,1,,W,Group Stage,22.06.21,Euros 2020
278,Poland,1,,L,Slovakia,2,,W,Group Stage,14.06.21,Euros 2020
279,Spain,0,,D,Sweden,0,,D,Group Stage,14.06.21,Euros 2020
280,Sweden,1,,W,Slovakia,0,,L,Group Stage,18.06.21,Euros 2020
281,Spain,1,,D,Poland,1,,D,Group Stage,19.06.21,Euros 2020
282,Slovakia,0,,L,Spain,5,,W,Group Stage,23.06.21,Euros 2020
283,Sweden,3,,W,Poland,2,,L,Group Stage,23.06.21,Euros 2020
